Food Code; code,Food Name; name,Local Name; lang,Energy; enerc,Total Fat; fatce,Dietary Fiber; fibtg,Carbohydrate; choavldf,Protein; protcnt
D044,"CUCUMBER, GREEN, SHORT","A. TIYOH; B. SOSHA; G. KAKDI; H. KHEERA, KACHUMBAR; KAN. SOUTHE KAYI; KASH. LAAR; KH. SOHKHIA; M. THABI; MAL. VELLARIKKA; MAR. KAKADI; N. KAKRO; O. KAKUDI; P. KHIRA; S. PATOLAH; TAM. VELLARIKKAI; TEL. DOSA KAYA; U. KHEERA.",73,0.18,2.13,2.82,0.83
D045,"CUCUMBER, ORANGE, ROUND",A. TIYOH; B. SOSHA; G. KAKDI; H. KAKADI; KAN. SOUTHE KAYI; KASH. LAAR; KH. SOHKHIA PYLLON; MAL. VELLARIKKA; MAR. KAKADI; N. KAKRO; O. KAKUDI; P. KHIRA; S. PATOLAH; TAM. VELLARIKKAI; TEL. DOSA KAYA; U. KHEERA.,82,0.24,2.46,3.01,0.98
D045,SOHKHIA PYLLON,KH,82,0.24,2.46,3.01,0.98
D046,SUHANJANA DI PHALLIYA,P,123,0.12,6.83,3.76,2.62
D046,SARAGAVO,G,123,0.12,6.83,3.76,2.62
D046,SAIJAN-KI-PHALLI,H,123,0.12,6.83,3.76,2.62
D046,NUGGA KAYI,KAN,123,0.12,6.83,3.76,2.62
D046,DIENG SAJANA,KH,123,0.12,6.83,3.76,2.62
D046,MURINGAKKAI,MAL,123,0.12,6.83,3.76,2.62
D046,SAJANA,M,123,0.12,6.83,3.76,2.62
D046,SAJANA CHHUIN,O,123,0.12,6.83,3.76,2.62
D046,MURUNGAKKAI,TAM,123,0.12,6.83,3.76,2.62
D046,MULAKAADA,TEL,123,0.12,6.83,3.76,2.62
D046,SUJNE KI PALLI,U,123,0.12,6.83,3.76,2.62
D046,"HORSERADISH, BENZOIL",E,123,0.12,6.83,3.76,2.62
D046,SAJNA DANTA,B,123,0.12,6.83,3.76,2.62
