Food Code; code,Food Name; name,Local Name; lang,Energy; enerc,Total Fat; fatce,Dietary Fiber; fibtg,Carbohydrate; choavldf,Protein; protcnt
D012,BRINJAL-3,"A. BENGENA; B. BEGUN; E. EGGPLANT, AUBERGINE; G. RINGNA; H. BAINGAN; KAN. BADANE; KASH. WAGUN; KH. SOHBAINGON JYRNGAM; MAL. VAZHUTHINIGA; M. LAM KHAMEN; MAR. VANGE; N. BHANTAA; O. BAIGAN; P. BAIGAN; S. VRUNTAAKAM; TAM. KATHIRIKKAI; TEL. VANKAYA; U. BAIGAN.",102,0.33,4.26,3.38,1.36
D013,BRINJAL-4,"A. BENGENA; B. BEGUN; E. EGGPLANT, AUBERGINE; G. RINGNA; H. BAINGAN; KAN. BADANE; KASH. WAGUN; KH. SOHBAINGON JYRNGAM; MAL. VAZHUTHINIGA; M. LAM KHAMEN; MAR. VANGE; N. BHANTAA; O. BAIGAN; P. BAIGAN; S. VRUNTAAKAM; TAM. KATHIRIKKAI; TEL. VANKAYA; U. BAIGAN.",100,0.31,4.04,3.19,1.51
D014,BRINJAL-5,"A. BENGENA; B. BEGUN; E. EGGPLANT, AUBERGINE; G. RINGNA; H. BAINGAN; KAN. BADANE; KASH. WAGUN; KH. SOHBAINGON JYRNGAM; MAL. VAZHUTHINIGA; M. LAM KHAMEN; MAR. VANGE; N. BHANTAA; O. BAIGAN; P. BAIGAN; S. VRUNTAAKAM; TAM. KATHIRIKKAI; TEL. VANKAYA; U. BAIGAN",111,0.29,4.13,4.02,1.38
D015,BRINJAL-6,"A. BENGENA; B. BEGUN; E. EGGPLANT, AUBERGINE; G. RINGNA; H. BAINGAN; KAN. BADANE; KASH. WAGUN; KH. SOHBAINGON JYRNGAM; MAL. VAZHUTHINIGA; M. LAM KHAMEN; MAR. VANGE; N. BHANTAA; O. BAIGAN; P. BAIGAN; S. VRUNTAAKAM; TAM. KATHIRIKKAI; TEL. VANKAYA; U. BAIGAN",97,0.29,3.68,3.29,1.46
D016,BRINJAL-7,"A. BENGENA; B. BEGUN; E. EGGPLANT, AUBERGINE; G. RINGNA; H. BAINGAN; KAN. BADANE; KASH. WAGUN; KH. SOHBAINGON JYRNGAM; MAL. VAZHUTHINIGA; M. LAM KHAMEN; MAR. VANGE; N. BHANTAA; O. BAIGAN; P. BAIGAN; S. VRUNTAAKAM; TAM. KATHIRIKKAI; TEL. VANKAYA; U. BAIGAN",98,0.37,3.32,3.1,1.4
D017,BRINJAL-8,"A. BENGENA; B. BEGUN; E. EGGPLANT, AUBERGINE; G. RINGNA; H. BAINGAN; KAN. BADANE; KASH. WAGUN; KH. SOHBAINGON JYRNGAM; MAL. VAZHUTHINIGA; M. LAM KHAMEN; MAR. VANGE; N. BHANTAA; O. BAIGAN; P. BAIGAN; S. VRUNTAAKAM; TAM. KATHIRIKKAI; TEL. VANKAYA; U. BAIGAN.",117,0.33,4.01,3.75,1.82
D018,BRINJAL-9,"A. BENGENA; B. BEGUN; E. EGGPLANT, AUBERGINE; G. RINGNA; H. BAINGAN; KAN. BADANE; KASH. WAGUN; KH. SOHBAINGON JYRNGAM; MAL. VAZHUTHINIGA; M. LAM KHAMEN; MAR. VANGE; N. BHANTAA; O. BAIGAN; P. BAIGAN; S. VRUNTAAKAM; TAM. KATHIRIKKAI; TEL. VANKAYA; U. BAIGAN.",106,0.35,4.0,3.52,1.47
D019,BRINJAL-10,"A. BENGENA; B. BEGUN; E. EGGPLANT, AUBERGINE; G. RINGNA; H. BAINGAN; KAN. BADANE; KASH. WAGUN; KH. SOHBAINGON JYRNGAM; MAL. VAZHUTHINIGA; M. LAM KHAMEN; MAR. VANGE; N. BHANTAA; O. BAIGAN; P. BAIGAN; S. VRUNTAAKAM; TAM. KATHIRIKKAI; TEL. VANKAYA; U. BAIGAN.",116,0.25,3.9,4.08,1.68
D020,BRINJAL-11,"A. BENGENA; B. BEGUN; E. EGGPLANT, AUBERGINE; G. RINGNA; H. BAINGAN; KAN. BADANE; KASH. WAGUN; KH. SOHBAINGON JYRNGAM; MAL. VAZHUTHINIGA; M. LAM KHAMEN; MAR. VANGE; N. BHANTAA; O. BAIGAN; P. BAIGAN; S. VRUNTAAKAM; TAM. KATHIRIKKAI; TEL. VANKAYA; U. BAIGAN.",105,0.31,4.12,3.53,1.43
D021,BRINJAL-12,"A. BENGENA; B. BEGUN; E. EGGPLANT, AUBERGINE; G. RINGNA; H. BAINGAN; KAN. BADANE; KASH. WAGUN; KH. SOHBAINGON JYRNGAM; MAL. VAZHUTHINIGA; M. LAM KHAMEN; MAR. VANGE; N. BHANTAA; O. BAIGAN; P. BAIGAN; S. VRUNTAAKAM; TAM. KATHIRIKKAI; TEL. VANKAYA; U. BAIGAN.",93,0.27,3.89,2.73,1.6
